charity_name,donation_date,donation_type,amount,notes
American Red Cross,2025-01-05,cash,250.00,Year-end tax deductible donation
Salvation Army,2025-01-08,cash,100.00,Monthly recurring donation
Goodwill Industries,2025-01-11,items,245.00,"ITEMS:[Winter Coat|Clothing|very_good|1|45.00][Men's Suit|Clothing|excellent|1|80.00][Dress Shirts|Clothing|good|5|60.00][Leather Shoes|Clothing|very_good|2|50.00][Designer Handbag|Accessories|good|1|10.00]"
Salvation Army,2025-01-17,items,520.00,"ITEMS:[Laptop Computer|Electronics|good|1|200.00][Office Chair|Furniture|very_good|2|150.00][Desk Lamp|Household|excellent|3|60.00][Laser Printer|Electronics|good|1|50.00][File Cabinet|Furniture|good|1|60.00]"
Public Library,2025-01-19,items,185.00,"ITEMS:[Hardcover Books|Books|excellent|20|60.00][Children's Books|Books|very_good|30|60.00][Educational Games|Toys|good|5|40.00][Art Supplies|Household|excellent|1|25.00]"
Homeless Shelter,2025-01-21,items,380.00,"ITEMS:[Microwave Oven|Appliances|very_good|1|75.00][Coffee Maker|Appliances|good|1|30.00][Television 32 inch|Electronics|good|1|125.00][DVD Player|Electronics|good|1|20.00][Kitchen Utensils Set|Household|excellent|2|50.00][Dinnerware Set|Household|very_good|1|40.00][Bedding Set|Household|excellent|1|40.00]"
St. Jude Children's Hospital,2025-01-07,stock,2500.00,AAPL stock donation - 10 shares at $250 each
Mayo Clinic,2025-01-14,stock,1750.00,MSFT stock donation - 5 shares at $350 each
Electronic Frontier Foundation,2025-01-09,crypto,3500.00,BTC donation - 0.05 BTC at $70000 per coin
World Wildlife Fund,2025-01-16,crypto,1200.00,ETH donation - 0.5 ETH at $2400 per coin
Habitat for Humanity,2025-01-06,mileage,7.00,Weekly food pantry delivery - 50 miles at $0.14/mile
Boys and Girls Club,2025-01-13,mileage,28.00,Habitat build volunteer - 200 miles at $0.14/mile
